Fecha,Profundidad,Lat,Long,Sitio,Ubicacion,Transecto,Area,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,1,0.012,,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,2,0.012,15,10,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,3,0.012,7,15,6,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,4,0.012,,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,5,0.012,,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,6,0.012,6,5,6,4,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,7,0.012,,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,8,0.012,,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,9,0.012,5,,,,,,,,,,
26-Jun-13,50,20.56149,-86.91933,Barracuda,NW,10,0.012,12,5,8,,,,,,,,
26-Jun-13,80,20.56149,-86.91933,Barracuda,NW,11,0.012,9,,,,,,,,,,
26-Jun-13,65,20.56149,-86.91933,Barracuda,NW,12,0.012,25,20,22,21,4,,,,,,
26-Jun-13,80,20.56149,-86.91933,Barracuda,NW,13,0.012,,,,,,,,,,,
26-Jun-13,80,20.56149,-86.91933,Barracuda,NW,14,0.012,20,15,20,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,1,0.012,10,,,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,2,0.012,10,,,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,3,0.012,5,15,17,25,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,4,0.012,30,18,10,17,4,20,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,5,0.012,3,8,7,3,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,6,0.012,19,13,15,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,7,0.012,9,,,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,8,0.012,15,15,25,15,14,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,9,0.012,12,8,16,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,10,0.012,15,20,,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,11,0.012,20,15,18.5,12.5,23.5,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,12,0.012,10,4,15,7,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,13,0.012,10,5,,,,,,,,,
27-Jun-13,60,20.27102,-86.97078,Punta Sur,SurANP,14,0.012,5,7,10,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,1,0.012,,,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,2,0.012,22,,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,3,0.012,6,8,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,4,0.012,5,,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,5,0.012,10,8,8,9,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,6,0.012,9,10,15,23,21,19,,,,,18
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,7,0.012,20,15,15,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,8,0.012,15,20,18,23,25,15,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,9,0.012,16,20,10,20,5,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,10,0.012,20,,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,11,0.012,20,7,5,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,12,0.012,,,,,,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,13,0.012,10,10,15,5,17,,,,,,
28-Jun-13,60,20.63328,-86.81451,Cordillera Norte,Norte,14,0.012,10,4,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,1,0.012,5,,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,2,0.012,10,,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,3,0.012,5,,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,4,0.012,,,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,5,0.012,5,5,5,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,6,0.012,5,5,5,5,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,7,0.012,5,5,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,8,0.012,5,,,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,9,0.012,5,10,10,10,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,10,0.012,10,10,10,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,11,0.012,5,10,10,,,,,,,,
18-Nov-13,36,20.56149,-86.91933,Barracuda,NW,12,0.012,10,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,1,0.012,10,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,2,0.012,15,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,3,0.012,10,10,15,15,15,20,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,4,0.012,,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,5,0.012,10,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,6,0.012,5,5,10,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,7,0.012,,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,8,0.012,10,,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,9,0.012,10,15,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,10,0.012,10,15,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,11,0.012,11,25,,,,,,,,,
19-Nov-13,60,20.27102,-86.97078,Punta Sur,SurANP,12,0.012,5,15,15,15,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,1,0.012,14,17,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,2,0.012,14,14,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,3,0.012,12,17,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,4,0.012,10,12,15,17,25,25,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,5,0.012,14,15,33,45,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,6,0.012,20,,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,7,0.012,10,,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,8,0.012,15,15,5,10,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,9,0.012,10,20,,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,10,0.012,25,35,25,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,11,0.012,5,5,10,,,,,,,,
20-Nov-13,60,20.63328,-86.81451,Cordillera Norte,Norte,12,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,1,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,2,0.012,13,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,3,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,4,0.012,18,20,27,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,5,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,6,0.012,8,13,14,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,7,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,8,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,9,0.012,,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,10,0.012,15,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,11,0.012,15,,,,,,,,,,
21-Nov-13,40,20.60615,-86.8176,Cocales Bajito,Norte,12,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,1,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,2,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,3,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,4,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,5,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,6,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,7,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,8,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,9,0.012,5,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,10,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,11,0.012,,,,,,,,,,,
22-Nov-13,30,20.54078,-86.9365,Las Brisas,NW,12,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,1,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,2,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,3,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,4,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,5,0.012,13,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,6,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,7,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,8,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,9,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,10,0.012,10,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,11,0.012,,,,,,,,,,,
24-Jun-14,45,20.56149,-86.91933,Barracuda,NW,12,0.012,5,13,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,1,0.012,,,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,2,0.012,35,38,28,25,19,22,29,30,33,23,26
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,3,0.012,15,10,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,4,0.012,7,,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,5,0.012,,,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,6,0.012,25,20,27,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,7,0.012,,,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,8,0.012,,,,,,,,,,,
25-Jun-14,40,20.63328,-86.81451,Cordillera Norte,Norte,9,0.012,,,,,,,,,,,
